channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
@teru5300,TERUちゃん,,57,7119073,107204,284690,578,開始早々に洒落にならないレベルの放送事故をぶちかましてきたアニメがヤバすぎる...【ヘルモード】【2026冬アニメ】【感想】【なろうアニメ】
@Yusmariserrano,Aprendiendo y Emprendiendo con Yusmari ,296000.0,57,140905,2508,3985,863,Mira lo que me hizo el amigocho 🍳 vlog
@GameWithTania,GameWithTania,54600.0,57,221820,3203,20886,2557,Can I Run This Highway Rest Stop? | Rest Area Simulator
@Einfachyummy,Einfach yummy,,56,1172357,16506,100338,496,Chinesischer Nudelsalat 🥢mit Mie-Nudeln zum Reinlegen lecker - Thermomix® TM5/TM6/TM7
@innshape,IN SHAPE - Fitness em casa,,56,1421547,11780,167170,1429,"600 calorias em 30 minutos | TABATA para perder barriga, sem equipamentos"
@ACMcountry,ACM - Academy of Country Music,92100.0,56,2724164,15446,305453,159,"@blakeshelton - ""The Gambler"" [61st Academy of Country Music Awards]"
@KeenoePlays,Keenoe Plays,24400.0,56,272188,4585,18908,2311,Defying the Meta with XP Scaling in Super Auto Pets!
@EricKarlAnderson,Eric Karl Anderson,46900.0,55,244489,3722,10402,1269,Pulitzer Prize for Fiction Predictions 2026
@ViralVibeZ_2025,Viral VibeZ,19400.0,55,744080,463,166065,4130,*1 HOUR* New Jeff Pfeiffer Shorts 2026 | Funny Jeff Pfeiffer TikTok 2026
@AustinBurke,Austin Burke,162000.0,55,602129,8074,71956,969,HOKUM (2026) Movie Review | This Left me Terrified
@CodyLeachYT,Cody Leach,,54,2587147,37327,172697,1964,Return to Silent Hill (2026) - Movie Review
@AileenSenpai,AileenSenpai,475000.0,54,3073428,49752,154725,799,HITS BY BRITS! American Reacts to Top 150 Songs by British Musicians | REACTION
@mystery-yogen,世界の予言ミステリー【ゆっくり解説】,,54,1810604,23810,131362,1488,【2026年エプファイル最新情報】真の目的は人〇売買ではなかった…証拠文書が暴く「人間牧場」での狂気の実験【都市伝説】【ゆっくり解説】
@TheInjuryBreakdown,The Injury Breakdown,,54,466041,705,119594,764,26.8 Lactate: The Man Who Broke Human Biology - Johannes Klæbo
@DanMurrellMovies,Dan Murrell,,54,3004300,42963,201895,1365,The $150 Million Disaster No One's Heard Of
@SariyasCooking,Cooking With Sariya,1690000.0,53,256029,2616,55250,468,10 Minutes Eid Special Dessert Recipe with 1/2 Liter milk - Quick & Easy Dessert Recipe
@yukkurispraceroom,ゆっくり宇宙教室,,53,2765392,38367,274677,3449,【悲報】天王星ガチで死にかけていた…ジェイムズウェッブが診断したヤバい健康診断【ゆっくり解説】
channel/UCArLZtok93cO5R9RI4_Y5Jw,ENHYPEN,,53,42130632,436236,7497211,887,ENHYPEN (엔하이픈) 'Big Girls Don't Cry' MV
@retokani,レトルト,2610000.0,52,28280603,401670,1760383,6113,【4人実況】幸運の4人が一瞬で全てを失うホラーゲーム『R.E.P.O.』
@EasyQuickRecipes,Easy Quick Recipes,235000.0,51,1580236,15040,169523,382,Easy Chocolate Cake Recipe– Ultra Moist Fudge Cake
@markangelcomedy,MarkAngelComedy,9600000.0,51,6403376,106706,439099,1098,The Smartest Girl -  Mark Angel Comedy - Episode 481
@Arilunaplays,Ariluna Plays,34800.0,51,229035,3533,18049,931,COMO ser MILLONARIO en HEARTOPIA en MINUTOS 😱 | ArilunaPlays
@dheirya,Simple Explanations by Dheirya Tyagi,,51,625570,1062,125841,877,AP Statistics Full Review in 50 Minutes (2026)
@SLICEHistory,SLICE History,275000.0,51,1861957,11013,339386,2099,Sarajevo 1914: The Assassination That Sparked World War One I SLICE HISTORY | FULL DOCUMENTARY
@zinjoelnavarro2765,Zin Joel Navarro,,51,713476,8773,90105,179,"LA PATADITA | Beéle | Elvis Crespo | ZUMBA |  Merengue | ZIN JOEL | Heather , Danella"
@mikesbookreviews,Mike's Book Reviews,148000.0,50,484142,7320,45523,1494,The Best Book Trilogies I’ve Ever Read | 10 Series I’ll Never Shut Up About | As of 2026
@barriourbano1,Barrio Urbano,881000.0,50,9662151,84078,911512,328,Ozuna - Cambie Por Ti (Official Music Video)
@lukewiles1,Luke Wiles,,50,150990,2306,16214,783,Where to Buy in Moreton Bay (And Where to Avoid)
@PlanetaVivo-u1s,Vivo Planeta,,49,9398586,89789,1972739,3891,Maravilhas do Planeta | Os Lugares Mais Incríveis da Terra Que Parecem Não Ser Reais | Viagem 4K
@CosmoExplainsYT,Cosmo Explains,2970.0,49,256212,945,83872,7956,Every Confusing Thing About Quantum Physics Explained Slowly (For Sleep)
